"ID","goal_id_c","priority_in_goal_c","goal_id_t","priority_in_goal_t"
"take_a_pause",,,,
"one_on_one","relation",1,"relation",1
"kind_to_myself","relation",2,"wellbeing",1
"give_praise","relation",3,"relation",2
"talk_feelings","relation",4,"relation",3
"spirituality","relation",5,,
"care_myself",,,"develop",1
"language","learning",1,,
"reading","learning",2,,
"maths","learning",3,,
"engage_school","learning",4,,
"fun_learning",,,"learning",1
"help_learn",,,"learning",2
"positive_learning",,,"learning",3
"learning_mistakes",,,"learning",4
"learning_with_people",,,"learning",5
"play","develop",1,,
"learn_experience","develop",2,,
"toddler_change","develop",3,,
"young_child_change","develop",4,,
"child_change","develop",5,,
"mental_changes_teen",,,"develop",2
"social_changes_teen",,,"develop",3
"physical_changes_teen",,,"develop",4
"manage_my_stress","structure",1,,
"keeping_it_positive","structure",2,,
"create_routines","structure",3,"structure",1
"create_family_rules","structure",4,"structure",2
"know_role","structure",5,,
"redirect","behave",1,,
"misbehave",,,"behave",2
"ignore_demanding","behave",2,,
"managing_anger","behave",3,,
"manage_stress",,,"behave",1
"teach_consequences","behave",4,"behave",4
"solve_problems","behave",5,"behave",3
"safe_touch","safety",1,,
"com_safety","safety",2,"safety",1
"crises","safety",3,"safety",4
"online_safety","safety",4,"structure",3
"self_defence",,,"safety",2
"sex_violence",,,"safety",3
"habits_online","safety",5,"structure",4
"nutrition_health","safety",6,,
"ipv_equals","ipv",1,"ipv",1
"ipv_supportive","ipv",2,"ipv",2
"ipv_sharing","ipv",3,"ipv",3
"ipv_conflicts","ipv",4,"ipv",4
"ipv_listen","ipv",5,"ipv",5
"budget_needs","budget",1,"budget",1
"budget_expenses","budget",2,"budget",2
"budget_monthly","budget",3,"budget",3
"budget_savings","budget",4,"budget",4
"stress",,,"wellbeing",2
"show_kindness",,,"wellbeing",3
"stress_signs",,,"wellbeing",4
